2023-10-05T00:06:39.362+02:00  INFO 24720 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-10-05T00:06:39.368+02:00  INFO 24720 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2023-10-05T00:06:39.376+02:00  INFO 24720 --- [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2023-10-05T00:07:07.728+02:00  INFO 22032 --- [main] com.fomich.netdata.NetdataApplication    : Starting NetdataApplication using Java 17.0.8 with PID 22032 (D:\javaprojects\netdata\build\classes\java\main started by fomic in D:\javaprojects\netdata)
2023-10-05T00:07:07.731+02:00  INFO 22032 --- [main] com.fomich.netdata.NetdataApplication    : No active profile set, falling back to 1 default profile: "default"
2023-10-05T00:07:08.390+02:00  INFO 22032 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-10-05T00:07:08.459+02:00  INFO 22032 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 60 ms. Found 2 JPA repository interfaces.
2023-10-05T00:07:09.263+02:00  INFO 22032 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2023-10-05T00:07:09.275+02:00  INFO 22032 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2023-10-05T00:07:09.276+02:00  INFO 22032 --- [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.13]
2023-10-05T00:07:09.398+02:00  INFO 22032 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2023-10-05T00:07:09.398+02:00  INFO 22032 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1609 ms
2023-10-05T00:07:09.571+02:00  INFO 22032 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2023-10-05T00:07:09.756+02:00  INFO 22032 --- [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@740dcae3
2023-10-05T00:07:09.757+02:00  INFO 22032 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2023-10-05T00:07:09.923+02:00  INFO 22032 --- [main] liquibase.database                       : Set default schema name to public
2023-10-05T00:07:10.122+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.135+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.145+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.153+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
2023-10-05T00:07:10.160+02:00  INFO 22032 --- [main] liquibase.executor                       : Changelog query completed.
